type,object-size(KB),workers,parallel-clients,avg-bandwidth(MB/s),avg-latency(ms),gen-bytes-avg-latency(ms),io-copy-avg-latency(ms),successful-ops,failed-ops,duration,total-mbytes,name
delete,4,10,128,0.0,14.47,-1.00,-1.00,1e+06,0,28s,0,clean-4k-128threads
delete,4,10,256,0.0,28.10,-1.00,-1.00,1e+06,0,27s,0,clean-4k-256threads
delete,8,10,128,0.0,13.91,-1.00,-1.00,1e+06,0,27s,0,clean-8k-128threads
delete,8,10,256,0.0,30.06,-1.00,-1.00,1e+06,0,27s,0,clean-8k-256threads
delete,16,10,64,0.0,7.15,-1.00,-1.00,1e+06,0,26s,0,clean-16k-64threads
delete,16,10,128,0.0,14.25,-1.00,-1.00,1e+06,0,27s,0,clean-16k-128threads
delete,16,10,256,0.0,27.45,-1.00,-1.00,1e+06,0,30s,0,clean-16k-256threads
delete,32,10,64,0.0,6.98,-1.00,-1.00,1e+06,0,25s,0,clean-32k-64threads
delete,32,10,128,0.0,14.33,-1.00,-1.00,1e+06,0,27s,0,clean-32k-128threads
delete,32,10,256,0.0,27.98,-1.00,-1.00,1e+06,0,31s,0,clean-32k-256threads
delete,64,10,64,0.0,7.13,-1.00,-1.00,1e+06,0,26s,0,clean-64k-64threads
delete,64,10,128,0.0,14.27,-1.00,-1.00,1e+06,0,25s,0,clean-64k-128threads
delete,64,10,256,0.0,29.70,-1.00,-1.00,1e+06,0,32s,0,clean-64k-256threads
delete,128,10,64,0.0,7.34,-1.00,-1.00,1e+06,0,26s,0,clean-128k-64threads
delete,128,10,128,0.0,14.97,-1.00,-1.00,1e+06,0,26s,0,clean-128k-128threads
delete,128,10,256,0.0,27.96,-1.00,-1.00,1e+06,0,27s,0,clean-128k-256threads
delete,256,10,64,0.0,7.42,-1.00,-1.00,1e+06,0,26s,0,clean-256k-64threads
delete,256,10,128,0.0,15.30,-1.00,-1.00,1e+06,0,32s,0,clean-256k-128threads
delete,256,10,256,0.0,27.82,-1.00,-1.00,1e+06,0,27s,0,clean-256k-256threads
delete,512,10,64,0.0,7.54,-1.00,-1.00,1e+06,0,26s,0,clean-512k-64threads
delete,512,10,128,0.0,15.30,-1.00,-1.00,1e+06,0,26s,0,clean-512k-128threads
delete,512,10,256,0.0,28.42,-1.00,-1.00,1e+06,0,29s,0,clean-512k-256threads
delete,1024,10,64,0.0,7.20,-1.00,-1.00,1e+06,0,26s,0,clean-1m-64threads
delete,1024,10,128,0.0,14.62,-1.00,-1.00,1e+06,0,27s,0,clean-1m-128threads
delete,1024,10,256,0.0,28.84,-1.00,-1.00,1e+06,0,27s,0,clean-1m-256threads
delete,4096,10,64,0.0,7.90,-1.00,-1.00,1e+06,0,27s,0,clean-4m-64threads
delete,4096,10,128,0.0,15.57,-1.00,-1.00,1e+06,0,29s,0,clean-4m-128threads
delete,4096,10,256,0.0,28.99,-1.00,-1.00,1e+06,0,30s,0,clean-4m-256threads
read,4,10,128,116.5,42.31,-1.00,40.51,1e+06,0,44s,3906,read-4k-128threads
read,4,10,256,224.6,43.89,-1.00,40.68,1e+06,0,28s,3906,read-4k-256threads
read,8,10,128,233.5,42.22,-1.00,40.49,1e+06,0,44s,7812,read-8k-128threads
read,8,10,256,450.3,43.79,-1.00,40.65,1e+06,0,28s,7812,read-8k-256threads
read,16,10,64,2450.3,3.59,-1.00,0.09,1e+06,0,17s,15625,read-16k-64threads
read,16,10,128,2521.6,7.44,-1.00,0.31,1e+06,0,17s,15625,read-16k-128threads
read,16,10,256,2426.8,16.02,-1.00,0.74,1e+06,0,17s,15625,read-16k-256threads
read,32,10,64,4912.7,3.57,-1.00,0.08,1e+06,0,17s,31250,read-32k-64threads
read,32,10,128,5052.9,7.41,-1.00,0.29,1e+06,0,17s,31250,read-32k-128threads
read,32,10,256,4831.8,16.08,-1.00,0.73,1e+06,0,17s,31250,read-32k-256threads
read,64,10,64,9804.2,3.58,-1.00,0.08,1e+06,0,17s,62500,read-64k-64threads
read,64,10,128,10219.1,7.32,-1.00,0.28,1e+06,0,17s,62500,read-64k-128threads
read,64,10,256,9829.7,15.77,-1.00,0.65,1e+06,0,17s,62500,read-64k-256threads
read,128,10,64,19270.4,3.64,-1.00,0.09,1e+06,0,17s,125000,read-128k-64threads
read,128,10,128,20978.4,7.13,-1.00,0.23,1e+06,0,17s,125000,read-128k-128threads
read,128,10,256,20444.1,15.16,-1.00,0.51,1e+06,0,17s,125000,read-128k-256threads
read,256,10,64,27396.5,5.30,-1.00,0.07,1e+06,0,20s,250000,read-256k-64threads
read,256,10,128,28102.7,10.80,-1.00,0.11,1e+06,0,20s,250000,read-256k-128threads
read,256,10,256,27901.2,22.21,-1.00,0.19,1e+06,0,21s,250000,read-256k-256threads
read,512,10,64,28357.9,10.69,-1.00,0.04,1e+06,0,29s,500000,read-512k-64threads
read,512,10,128,29247.8,21.31,-1.00,0.08,1e+06,0,31s,500000,read-512k-128threads
read,512,10,256,28822.9,43.30,-1.00,0.24,1e+06,0,29s,500000,read-512k-256threads
read,1024,10,64,29033.9,21.44,-1.00,0.03,1e+06,0,47s,1000000,read-1m-64threads
read,1024,10,128,29523.8,42.63,-1.00,0.06,1e+06,0,47s,1000000,read-1m-128threads
read,1024,10,256,29161.0,86.52,-1.00,0.15,1e+06,0,47s,1000000,read-1m-256threads
