type,object-size(KB),workers,parallel-clients,avg-bandwidth(MB/s),ops,avg-latency(ms),gen-bytes-avg-latency(ms),io-copy-avg-latency(ms),successful-ops,failed-ops,duration,total-mbytes,name
delete,4,10,128,0.0,0.00,15.13,-1.00,-1.00,1e+06,0,27s,0,clean-4k-128threads
delete,4,10,256,0.0,0.00,28.06,-1.00,-1.00,1e+06,0,27s,0,clean-4k-256threads
delete,8,10,128,0.0,0.00,14.47,-1.00,-1.00,1e+06,0,26s,0,clean-8k-128threads
delete,8,10,256,0.0,0.00,27.92,-1.00,-1.00,1e+06,0,29s,0,clean-8k-256threads
delete,16,10,64,0.0,0.00,7.40,-1.00,-1.00,1e+06,0,27s,0,clean-16k-64threads
delete,16,10,128,0.0,0.00,14.36,-1.00,-1.00,1e+06,0,27s,0,clean-16k-128threads
delete,16,10,256,0.0,0.00,29.75,-1.00,-1.00,1e+06,0,31s,0,clean-16k-256threads
delete,32,10,64,0.0,0.00,7.84,-1.00,-1.00,1e+06,0,27s,0,clean-32k-64threads
delete,32,10,128,0.0,0.00,14.49,-1.00,-1.00,1e+06,0,26s,0,clean-32k-128threads
delete,32,10,256,0.0,0.00,28.46,-1.00,-1.00,1e+06,0,26s,0,clean-32k-256threads
delete,64,10,64,0.0,0.00,7.47,-1.00,-1.00,1e+06,0,27s,0,clean-64k-64threads
delete,64,10,128,0.0,0.00,15.18,-1.00,-1.00,1e+06,0,29s,0,clean-64k-128threads
delete,64,10,256,0.0,0.00,28.38,-1.00,-1.00,1e+06,0,31s,0,clean-64k-256threads
delete,128,10,64,0.0,0.00,7.41,-1.00,-1.00,1e+06,0,27s,0,clean-128k-64threads
delete,128,10,128,0.0,0.00,15.12,-1.00,-1.00,1e+06,0,32s,0,clean-128k-128threads
delete,128,10,256,0.0,0.00,28.80,-1.00,-1.00,1e+06,0,30s,0,clean-128k-256threads
delete,256,10,64,0.0,0.00,7.38,-1.00,-1.00,1e+06,0,26s,0,clean-256k-64threads
delete,256,10,128,0.0,0.00,14.88,-1.00,-1.00,1e+06,0,29s,0,clean-256k-128threads
delete,256,10,256,0.0,0.00,28.91,-1.00,-1.00,1e+06,0,27s,0,clean-256k-256threads
delete,512,10,64,0.0,0.00,7.81,-1.00,-1.00,1e+06,0,27s,0,clean-512k-64threads
delete,512,10,128,0.0,0.00,16.06,-1.00,-1.00,1e+06,0,28s,0,clean-512k-128threads
delete,512,10,256,0.0,0.00,29.89,-1.00,-1.00,1e+06,0,29s,0,clean-512k-256threads
delete,1024,10,64,0.0,0.00,7.52,-1.00,-1.00,1e+06,0,27s,0,clean-1m-64threads
delete,1024,10,128,0.0,0.00,14.83,-1.00,-1.00,1e+06,0,26s,0,clean-1m-128threads
delete,1024,10,256,0.0,0.00,28.96,-1.00,-1.00,1e+06,0,31s,0,clean-1m-256threads
delete,4096,10,64,0.0,0.00,7.81,-1.00,-1.00,1e+06,0,27s,0,clean-4m-64threads
delete,4096,10,128,0.0,0.00,14.94,-1.00,-1.00,1e+06,0,28s,0,clean-4m-128threads
delete,4096,10,256,0.0,0.00,30.34,-1.00,-1.00,1e+06,0,31s,0,clean-4m-256threads
read,4,10,128,117.0,29946.94,42.14,-1.00,40.45,1e+06,0,44s,3906,read-4k-128threads
read,4,10,256,229.3,58703.23,42.99,-1.00,40.56,1e+06,0,27s,3906,read-4k-256threads
read,8,10,128,233.8,29925.59,42.18,-1.00,40.46,1e+06,0,44s,7812,read-8k-128threads
read,8,10,256,457.8,58601.72,43.07,-1.00,40.58,1e+06,0,27s,7812,read-8k-256threads
read,16,10,64,2424.2,155151.80,3.63,-1.00,0.12,1e+06,0,18s,15625,read-16k-64threads
read,16,10,128,2553.2,163401.88,7.33,-1.00,0.36,1e+06,0,17s,15625,read-16k-128threads
read,16,10,256,2562.1,163973.21,15.11,-1.00,0.89,1e+06,0,17s,15625,read-16k-256threads
read,32,10,64,4796.5,153487.65,3.68,-1.00,0.12,1e+06,0,18s,31250,read-32k-64threads
read,32,10,128,5094.1,163012.49,7.36,-1.00,0.36,1e+06,0,17s,31250,read-32k-128threads
